ngay,do_am,nhiet_do,luong_mua,gia_xang,gia_phan_bon,gia
01-01-2010,91,10.80588724944128,63.03338548753967,16005.169509362499,5000.683789405724,8402.276374866664
02-01-2010,80,19.53932454109666,80.64532455071252,16010.039932058333,5001.449543936587,8918.377798719139
03-01-2010,46,13.503099680067614,63.83127288422742,16014.533003565015,5003.270674262474,7804.712212417215
04-01-2010,32,11.889118824140839,43.18141638995004,16014.977636277286,5003.404961817091,6835.474441398078
05-01-2010,57,17.03874679646289,75.59544970002422,16019.768898284708,5003.831276768631,8656.9943619906
06-01-2010,70,17.01178375211506,17.114473717672503,16021.887586797728,5002.877225256407,5107.133828451947
07-01-2010,70,12.279086272404948,68.64664956811973,16022.091134070628,5003.009341717805,8372.149120932305
08-01-2010,62,18.028639629050375,35.29191509884287,16023.89318978021,5002.36591292821,6107.651597316237
09-01-2010,66,14.692913241055711,67.6933999038737,16029.580433111661,5003.6761455375645,8403.012732036674
10-01-2010,44,10.430499820951256,25.927096764370873,16027.371945273158,5005.108121898929,5632.674760703331
11-01-2010,72,11.13352184862959,75.6596753925884,16026.434024457281,5004.955345251494,8807.631368439324
12-01-2010,59,15.326391400543063,27.72785595435419,16023.787009596477,5005.56553622982,5630.630719470647
13-01-2010,29,11.119033740695343,31.010212293256885,16030.193063177678,5005.657865351087,5865.79537586999
14-01-2010,52,18.023631116649184,71.32955834005752,16032.343497384778,5007.61113681009,8085.836598754418
15-01-2010,40,11.331610907169406,44.49228127183927,16032.611318738538,5008.351154839971,6889.186942134321
16-01-2010,39,19.626845493041014,26.024846793857204,16034.592293639862,5008.226228229305,5326.975952889737
17-01-2010,60,18.0215683685865,79.79662966296081,16036.484525660488,5010.111343048668,8896.059940810954
18-01-2010,21,10.083571304864762,94.31349700273627,16033.485779590073,5009.300301471605,9858.460195836711
19-01-2010,85,12.82416248421058,77.01009557467536,16030.823335526247,5010.39531725285,9025.168631472785
20-01-2010,12,17.34202693899114,99.06539474672174,16030.297764891462,5012.297794740394,9758.369730412345
21-01-2010,67,15.561826859469642,67.26087677245879,16031.19670131174,5011.435455197326,8315.859662524192
22-01-2010,57,13.601641934150233,44.51101835092549,16030.333961428156,5013.183852262721,6998.143276151478
23-01-2010,26,11.384543515520477,67.67734510044073,16032.662007198003,5014.563792791439,7939.356666138593
24-01-2010,36,15.276812392827107,67.46735230591104,16030.946107641923,5015.357188990814,7943.065031226331
25-01-2010,62,18.816389279955967,44.70617293725575,16032.677567539857,5015.226693725681,6608.043350617199
26-01-2010,80,16.45055543340254,29.149992865412855,16032.087347354653,5017.036371251069,5898.116065205822
27-01-2010,32,18.41594650260101,46.45586703003744,16036.87286769437,5018.529190921673,6631.035352184508
28-01-2010,51,12.639691346672747,10.844777903117276,16043.1730767732,5017.777628134998,5026.674046950935
29-01-2010,65,17.083204996010384,47.570685695639035,16048.108940257822,5017.998806486036,6924.807397092926
30-01-2010,17,13.995770793934154,50.08688304415552,16048.547648193255,5017.945102039292,6741.8766516423775
31-01-2010,30,11.282091267290122,15.156362575930425,16052.531068326945,5019.168637414948,4942.9935357084
01-02-2010,71,17.896831531134467,58.820653903262695,16055.611905561473,5018.919038148826,7495.884239890687
02-02-2010,79,18.793835971800064,28.973494077281863,16059.87887604592,5020.182583245921,5987.571590492616
03-02-2010,90,24.10458439806966,44.27130137891892,16059.949465246686,5019.588088905058,6457.480267399948
04-02-2010,56,17.618059953245453,75.13690281418283,16065.022310737157,5020.599170743233,8447.797249435174
05-02-2010,55,20.94767287074103,81.0353717229361,16063.546031701082,5019.945970843938,8601.148913975985
06-02-2010,25,22.23937515719511,53.221430954458214,16067.819915590324,5021.044575277945,6819.170222312758
07-02-2010,65,15.681588958827142,66.5916998858539,16067.119838000195,5021.6091639238775,8000.440484079708
08-02-2010,83,20.60398404219125,45.21657108765157,16064.037630500845,5022.652184878623,6791.426946081047
09-02-2010,73,17.502292399755184,76.55110796226593,16062.564076554145,5024.309046484799,8911.180487611977
10-02-2010,50,16.028330144110054,30.141059306133617,16061.253335650963,5023.49564868713,5747.606211083884
11-02-2010,19,16.413863509469934,20.89941327541596,16060.99729014132,5023.937587263944,4862.348371534368
12-02-2010,69,17.09417490042709,10.524194467218384,16066.774775635055,5024.384492559225,4602.1841293821335
13-02-2010,76,18.56003771049919,44.07539323786547,16071.234798084108,5026.371437248499,6593.8464405950845
14-02-2010,21,18.91193492578426,40.65028116943378,16071.631225673134,5025.881197333023,6148.55318138106
15-02-2010,83,16.45100200475498,87.21634555899408,16070.06026860457,5026.9502965291185,9375.553673716016
16-02-2010,51,18.749568821048385,32.626187415618546,16076.357340420916,5027.851302469947,5709.524363927583
17-02-2010,42,15.115729603984533,18.34711665609522,16082.492717841991,5029.840430229272,5005.692215263659
18-02-2010,30,20.774532968750258,94.81522191086682,16080.735153078118,5029.501434908648,9454.963325973547
19-02-2010,93,24.00137615855139,39.93833611530805,16081.398852320315,5029.645348614984,6481.5178887330085
20-02-2010,18,21.163375332916154,12.09029489305149,16080.937995203876,5030.5985015637025,4224.451173554447
21-02-2010,80,15.585841065875542,10.131780940136826,16081.682719830203,5029.692970704977,5050.280255059507
22-02-2010,31,21.165415877584188,24.759862277893074,16081.14086837405,5029.658108433229,5007.703907422602
23-02-2010,38,24.503278136178533,23.11839942372878,16087.144339614031,5031.356442120548,4881.18567440056
24-02-2010,63,23.521265593725182,67.29208888065735,16089.695439483423,5033.100413386092,8031.513985186522
25-02-2010,95,18.5843009656468,99.38786270671056,16088.011714736984,5032.696577135924,10050.261329534298
26-02-2010,29,20.118155582760814,97.36201985567013,16087.077388590778,5032.505655611749,9512.036451460932
27-02-2010,50,23.04386005010234,64.40025834931964,16091.554515739672,5031.6848109031125,7639.302663421104
28-02-2010,68,20.110220668611912,55.00502056888307,16096.302675770394,5032.5659290756785,7216.837579912082
01-03-2010,11,19.138848210161534,11.855358898677759,16101.972761733334,5033.288279846708,4278.124674938116
02-03-2010,49,17.20864051735737,31.489006112494444,16102.947126338617,5032.368590985283,5972.722184654106
03-03-2010,74,19.794159111907817,46.004021841416844,16101.916720959169,5032.895301748131,6700.475112980535
04-03-2010,36,15.667286673980797,71.39214690273097,16099.799694947164,5033.367696238691,8266.916160701572
05-03-2010,20,19.2348388424994,51.477603990679725,16104.256965538063,5033.132499177943,6688.96352527844
06-03-2010,77,21.031942874186626,69.14997420059086,16104.417330572247,5032.858101249489,8380.355604700906
07-03-2010,94,19.486061091193108,25.19042591756588,16104.428810034222,5032.275485217022,5637.789381821675
08-03-2010,96,23.750973338208503,34.067535786760786,16109.916043989564,5032.358456239321,5924.723410162725
09-03-2010,61,21.082841758186994,49.55036664944819,16113.281670394024,5033.63923102793,7050.29939761484
10-03-2010,83,23.4259237053792,76.85982039423216,16117.929459240311,5034.781442382887,8606.341752976148
11-03-2010,55,23.273375652793703,10.541629756464124,16120.643342778705,5036.0070628218655,4357.555903255062
12-03-2010,43,17.526648077213945,37.765536906218166,16121.692328314091,5036.88865280076,6397.490837383814
13-03-2010,97,21.810275441463766,68.9489115945255,16121.81947349642,5038.846687773202,8391.959793100648
14-03-2010,79,16.48350048625288,97.79214218835348,16121.235717343783,5038.670003464423,10256.256599246548
15-03-2010,65,19.613211034924312,67.49025047814929,16122.473416500809,5039.220447343276,7934.563822847877
16-03-2010,89,24.612290348289346,91.12096094587552,16125.25658840368,5038.783096428376,9565.464862375586
17-03-2010,59,17.073504186718726,24.152942896868907,16129.36675756386,5040.060963372925,5632.421551515702
18-03-2010,88,15.30364206311839,73.28547880218562,16134.990066079046,5041.869412487932,8803.027339017584
19-03-2010,37,19.16373039574702,11.37074033787046,16137.564847515108,5041.367802894466,4393.670309256892
20-03-2010,88,20.87063117165105,56.80187608567361,16140.701856606856,5040.784606225677,7736.63894610732
21-03-2010,92,18.120765475748037,31.040682889309057,16146.628655998633,5040.635404214195,6053.673013160183
22-03-2010,32,24.3533134745878,53.286495521969236,16152.258673116203,5042.328581777219,6621.884985731937
23-03-2010,83,18.909119476889032,26.316793966579695,16152.157198089808,5041.49786270139,5966.650693398715
24-03-2010,83,16.950362591761063,78.3613511982957,16151.594541231454,5042.0161304005205,8827.161526472575
25-03-2010,47,17.033104225068136,66.37534061695841,16149.878214745593,5042.318964571958,7932.214592442865
26-03-2010,70,21.949921270983452,87.53466022168027,16154.152081149448,5041.794860238222,9305.827842516122
27-03-2010,44,21.415959867963032,50.28483424790287,16153.070393692939,5040.815092785891,6972.766495908436
28-03-2010,10,21.78060180107103,49.62923921705656,16155.967151986299,5042.051029136703,6586.240233353227
29-03-2010,23,16.052972924542235,85.13082755070104,16153.744418794879,5043.849418773648,9003.82072935811
30-03-2010,37,22.768860147138962,44.802051826245595,16159.913320481844,5044.554636520762,6312.281852367966
31-03-2010,21,15.783640228524312,10.334202402152759,16159.346516386655,5046.299730364709,4491.34181836861
01-04-2010,76,24.79768211470661,66.42832924260628,16165.418634940339,5047.73935732282,7793.943282924758
02-04-2010,49,23.150309762947366,52.22819828571848,16166.62933584388,5048.250992539656,6733.160110626691
03-04-2010,70,21.390092965074857,25.529851207346745,16170.088377193906,5049.306717387346,5513.2688162344275
04-04-2010,19,20.10668567360741,16.35521397920761,16171.754546483444,5050.859485914812,4525.795364921265
05-04-2010,98,21.376118496828546,83.91644501257423,16170.461929032217,5052.588369440416,9218.489717050123
06-04-2010,40,16.198890740662044,90.33476873451991,16170.59485505738,5054.530150784935,9347.444681309247
07-04-2010,12,15.489078884288686,29.439397961687284,16175.914284197379,5055.6369629529045,5489.637972985057
08-04-2010,26,18.675682170496003,70.13896952503453,16173.5003092126,5056.174444303407,8131.681208278784
09-04-2010,99,18.882569857959265,55.53916205735734,16179.193436446812,5058.18541658167,7653.639456699957
10-04-2010,47,18.616910926413862,65.6517464192647,16185.633070300202,5059.033145587522,7701.35329187716
11-04-2010,75,15.152445128167162,53.62311885676703,16187.399821584542,5060.497135035114,7578.594880189359
12-04-2010,41,23.268903282874557,10.701262449468604,16188.911182748414,5061.499278423244,4311.317029176729
13-04-2010,86,24.736746197140572,89.60286668270686,16194.799952035684,5061.479296058837,9306.360069665983
14-04-2010,65,16.203221650773905,96.47099174164141,16196.988009024682,5060.83639079898,9813.576492352382
15-04-2010,98,24.265509033477464,25.271504853492836,16194.617243464014,5061.648432397898,5730.123493973983
16-04-2010,43,17.438959767584038,46.28975816554576,16197.353376531262,5062.01292734325,6876.386707327829
17-04-2010,82,22.800794093180883,77.23921057096095,16203.368164250305,5063.789411536339,8469.536832082833
18-04-2010,91,16.17133056628342,26.365980488853303,16202.37238072006,5065.503886549657,5916.671568284954
19-04-2010,41,18.845926597011776,47.06781673909945,16207.594680296586,5065.560973840194,6845.7034597815955
20-04-2010,40,18.167858114908938,48.41975892540807,16206.737449148695,5065.401502631463,6938.922453622244
21-04-2010,64,20.77670886031282,15.875702623119924,16204.991796832972,5067.121889575622,4972.6262529621445
22-04-2010,45,22.029322806001332,88.15479072593416,16209.510510419494,5068.249938462007,9029.157959279548
23-04-2010,82,15.106923911051918,77.71329328471342,16213.872497457982,5068.559631733152,9085.727356081263
24-04-2010,17,22.17273839989883,26.09921688830572,16217.019427557865,5067.630647645882,5315.283706386063
25-04-2010,84,24.025997776594817,18.49828213504818,16217.603810286018,5068.0876625324045,5175.5081984101635
